source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
F,0,MIMIC,Female,8532,Gender,1970-01-01,2099-12-31,
CeftriaXONE,0,MIMIC,Ceftriaxone,1777806,RxNorm,1970-01-01,2099-12-31,
vancomycin,0,MIMIC,Vancomycin,1707687,RxNorm,1970-01-01,2099-12-31,
CefTRIAXone,0,MIMIC,Ceftriaxone,1777806,RxNorm,1970-01-01,2099-12-31,
BLOOD CULTURE,0,MIMIC,Blood culture,3023368,LOINC,1970-01-01,2099-12-31,
ESCHERICHIA COLI,0,MIMIC,Escherichia coli,4011683,SNOMED,1970-01-01,2099-12-31,
M,0,MIMIC,Male,8507,Gender,1970-01-01,2099-12-31,
ENTEROCOCCUS FAECIUM,0,MIMIC,Enterococcus faecium,4234555,SNOMED,1970-01-01,2099-12-31,
STOOL,0,MIMIC,Stool,3025941,LOINC,1970-01-01,2099-12-31,
Amoxicillin,0,MIMIC,Amoxicillin,1713332,RxNorm,1970-01-01,2099-12-31,
URINE,0,MIMIC,Urine,3026008,LOINC,1970-01-01,2099-12-31,
CLOSTRIDIUM DIFFICILE,0,MIMIC,Clostridioides difficile,4244400,SNOMED,1970-01-01,2099-12-31,
Vancomycin,0,MIMIC,Vancomycin,1707687,RxNorm,1970-01-01,2099-12-31,
PSEUDOMONAS AERUGINOSA,0,MIMIC,Pseudomonas aeruginosa,4198675,SNOMED,1970-01-01,2099-12-31,
KLEBSIELLA PNEUMONIAE,0,MIMIC,Klebsiella pneumoniae,4209452,SNOMED,1970-01-01,2099-12-31,
STAPH AUREUS COAG +,0,MIMIC,Staphylococcus aureus,4149419,SNOMED,1970-01-01,2099-12-31,
ENTEROCOCCUS FAECALIS,0,MIMIC,Enterococcus faecalis,4302157,SNOMED,1970-01-01,2099-12-31,
Piperacillin-Tazobactam,0,MIMIC,Piperacillin-Tazobactam,46275426,RxNorm,1970-01-01,2099-12-31,
